Symbol,Name,Sector,PRICINGDATE,PRICECLOSE
EXPD,Expeditors,Industrials,2007-07-02,41.830000
EXPD,Expeditors,Industrials,2007-07-03,42.150000
EXPD,Expeditors,Industrials,2007-07-05,41.600000
EXPD,Expeditors,Industrials,2007-07-06,41.760000
EXPD,Expeditors,Industrials,2007-07-09,43.530000
EXPD,Expeditors,Industrials,2007-07-10,43.950000
EXPD,Expeditors,Industrials,2007-07-11,44.920000
EXPD,Expeditors,Industrials,2007-07-12,45.370000
EXPD,Expeditors,Industrials,2007-07-13,45.710000
EXPD,Expeditors,Industrials,2007-07-16,45.900000
EXPD,Expeditors,Industrials,2007-07-17,46.540000
EXPD,Expeditors,Industrials,2007-07-18,46.540000
EXPD,Expeditors,Industrials,2007-07-19,46.900000
EXPD,Expeditors,Industrials,2007-07-20,46.420000
EXPD,Expeditors,Industrials,2007-07-23,47.090000
EXPD,Expeditors,Industrials,2007-07-24,46.150000
EXPD,Expeditors,Industrials,2007-07-25,45.690000
EXPD,Expeditors,Industrials,2007-07-26,44.710000
EXPD,Expeditors,Industrials,2007-07-27,44.810000
EXPD,Expeditors,Industrials,2007-07-30,45.080000
EXPD,Expeditors,Industrials,2007-07-31,44.680000
EXPD,Expeditors,Industrials,2007-08-01,45.260000
EXPD,Expeditors,Industrials,2007-08-02,46.000000
EXPD,Expeditors,Industrials,2007-08-03,44.850000
EXPD,Expeditors,Industrials,2007-08-06,46.990000
EXPD,Expeditors,Industrials,2007-08-07,49.660000
EXPD,Expeditors,Industrials,2007-08-08,52.680000
EXPD,Expeditors,Industrials,2007-08-09,52.360000
EXPD,Expeditors,Industrials,2007-08-10,47.780000
EXPD,Expeditors,Industrials,2007-08-13,47.740000
EXPD,Expeditors,Industrials,2007-08-14,46.490000
EXPD,Expeditors,Industrials,2007-08-15,45.310000
EXPD,Expeditors,Industrials,2007-08-16,44.170000
EXPD,Expeditors,Industrials,2007-08-17,45.150000
EXPD,Expeditors,Industrials,2007-08-20,45.830000
EXPD,Expeditors,Industrials,2007-08-21,44.270000
