Symbol,Name,Sector,PRICINGDATE,PRICECLOSE
FANG,Diamondback Energy,Energy,2020-01-02,92.650000
FANG,Diamondback Energy,Energy,2020-01-03,94.410000
FANG,Diamondback Energy,Energy,2020-01-06,94.900000
FANG,Diamondback Energy,Energy,2020-01-07,96.420000
FANG,Diamondback Energy,Energy,2020-01-08,93.330000
FANG,Diamondback Energy,Energy,2020-01-09,94.150000
FANG,Diamondback Energy,Energy,2020-01-10,92.260000
FANG,Diamondback Energy,Energy,2020-01-13,90.480000
FANG,Diamondback Energy,Energy,2020-01-14,91.260000
FANG,Diamondback Energy,Energy,2020-01-15,91.310000
FANG,Diamondback Energy,Energy,2020-01-16,90.740000
FANG,Diamondback Energy,Energy,2020-01-17,89.540000
FANG,Diamondback Energy,Energy,2020-01-21,88.320000
FANG,Diamondback Energy,Energy,2020-01-22,85.490000
FANG,Diamondback Energy,Energy,2020-01-23,84.700000
FANG,Diamondback Energy,Energy,2020-01-24,82.840000
FANG,Diamondback Energy,Energy,2020-01-27,79.370000
FANG,Diamondback Energy,Energy,2020-01-28,79.120000
FANG,Diamondback Energy,Energy,2020-01-29,77.570000
FANG,Diamondback Energy,Energy,2020-01-30,76.490000
FANG,Diamondback Energy,Energy,2020-01-31,74.400000
FANG,Diamondback Energy,Energy,2020-02-03,73.080000
FANG,Diamondback Energy,Energy,2020-02-04,73.220000
FANG,Diamondback Energy,Energy,2020-02-05,77.400000
FANG,Diamondback Energy,Energy,2020-02-06,76.230000
FANG,Diamondback Energy,Energy,2020-02-07,74.240000
FANG,Diamondback Energy,Energy,2020-02-10,72.000000
FANG,Diamondback Energy,Energy,2020-02-11,72.510000
FANG,Diamondback Energy,Energy,2020-02-12,74.350000
FANG,Diamondback Energy,Energy,2020-02-13,74.540000
FANG,Diamondback Energy,Energy,2020-02-14,74.970000
FANG,Diamondback Energy,Energy,2020-02-18,74.560000
FANG,Diamondback Energy,Energy,2020-02-19,79.290000
FANG,Diamondback Energy,Energy,2020-02-20,78.480000
FANG,Diamondback Energy,Energy,2020-02-21,76.400000
FANG,Diamondback Energy,Energy,2020-02-24,71.080000
FANG,Diamondback Energy,Energy,2020-02-25,67.160000
FANG,Diamondback Energy,Energy,2020-02-26,63.140000
FANG,Diamondback Energy,Energy,2020-02-27,59.480000
FANG,Diamondback Energy,Energy,2020-02-28,62.000000
FANG,Diamondback Energy,Energy,2020-03-02,62.140000
FANG,Diamondback Energy,Energy,2020-03-03,61.760000
FANG,Diamondback Energy,Energy,2020-03-04,61.070000
FANG,Diamondback Energy,Energy,2020-03-05,58.210000
FANG,Diamondback Energy,Energy,2020-03-06,48.560000
FANG,Diamondback Energy,Energy,2020-03-09,26.880000
FANG,Diamondback Energy,Energy,2020-03-10,29.680000
FANG,Diamondback Energy,Energy,2020-03-11,26.200000
FANG,Diamondback Energy,Energy,2020-03-12,25.620000
FANG,Diamondback Energy,Energy,2020-03-13,27.190000
FANG,Diamondback Energy,Energy,2020-03-16,23.490000
FANG,Diamondback Energy,Energy,2020-03-17,20.230000
FANG,Diamondback Energy,Energy,2020-03-18,15.560000
FANG,Diamondback Energy,Energy,2020-03-19,18.690000
FANG,Diamondback Energy,Energy,2020-03-20,18.590000
FANG,Diamondback Energy,Energy,2020-03-23,20.370000
FANG,Diamondback Energy,Energy,2020-03-24,24.120000
FANG,Diamondback Energy,Energy,2020-03-25,24.170000
FANG,Diamondback Energy,Energy,2020-03-26,25.950000
FANG,Diamondback Energy,Energy,2020-03-27,23.870000
FANG,Diamondback Energy,Energy,2020-03-30,23.590000
FANG,Diamondback Energy,Energy,2020-03-31,26.200000
FANG,Diamondback Energy,Energy,2020-04-01,25.070000
