Symbol,Name,Sector,PRICINGDATE,PRICECLOSE,,
FANG,Diamondback Energy,Energy,02/01/2020,92.65,,
FANG,Diamondback Energy,Energy,03/01/2020,94.41,,
FANG,Diamondback Energy,Energy,06/01/2020,94.9,,
FANG,Diamondback Energy,Energy,07/01/2020,96.42,,
FANG,Diamondback Energy,Energy,08/01/2020,93.33,,
FANG,Diamondback Energy,Energy,09/01/2020,94.15,,
FANG,Diamondback Energy,Energy,10/01/2020,92.26,,
FANG,Diamondback Energy,Energy,13/01/2020,90.48,,
FANG,Diamondback Energy,Energy,14/01/2020,91.26,,
FANG,Diamondback Energy,Energy,15/01/2020,91.31,,
FANG,Diamondback Energy,Energy,16/01/2020,90.74,,
FANG,Diamondback Energy,Energy,17/01/2020,89.54,,
FANG,Diamondback Energy,Energy,21/01/2020,88.32,,
FANG,Diamondback Energy,Energy,22/01/2020,85.49,,
FANG,Diamondback Energy,Energy,23/01/2020,84.7,,
FANG,Diamondback Energy,Energy,24/01/2020,82.84,,
FANG,Diamondback Energy,Energy,27/01/2020,79.37,,
FANG,Diamondback Energy,Energy,28/01/2020,79.12,,
FANG,Diamondback Energy,Energy,29/01/2020,77.57,,
FANG,Diamondback Energy,Energy,30/01/2020,76.49,,
FANG,Diamondback Energy,Energy,31/01/2020,74.4,,
FANG,Diamondback Energy,Energy,03/02/2020,73.08,,
FANG,Diamondback Energy,Energy,04/02/2020,73.22,,
FANG,Diamondback Energy,Energy,05/02/2020,77.4,,
FANG,Diamondback Energy,Energy,06/02/2020,76.23,,
FANG,Diamondback Energy,Energy,07/02/2020,74.24,,
FANG,Diamondback Energy,Energy,10/02/2020,72,,
FANG,Diamondback Energy,Energy,11/02/2020,72.51,,
FANG,Diamondback Energy,Energy,12/02/2020,74.35,,
FANG,Diamondback Energy,Energy,13/02/2020,74.54,,
FANG,Diamondback Energy,Energy,14/02/2020,74.97,,
FANG,Diamondback Energy,Energy,18/02/2020,74.56,,
FANG,Diamondback Energy,Energy,19/02/2020,79.29,,
FANG,Diamondback Energy,Energy,20/02/2020,78.48,,
FANG,Diamondback Energy,Energy,21/02/2020,76.4,,
FANG,Diamondback Energy,Energy,24/02/2020,71.08,,
FANG,Diamondback Energy,Energy,25/02/2020,67.16,,
FANG,Diamondback Energy,Energy,26/02/2020,63.14,,
FANG,Diamondback Energy,Energy,27/02/2020,59.48,,
FANG,Diamondback Energy,Energy,28/02/2020,62,,
FANG,Diamondback Energy,Energy,02/03/2020,62.14,,
FANG,Diamondback Energy,Energy,03/03/2020,61.76,,
FANG,Diamondback Energy,Energy,04/03/2020,61.07,,
FANG,Diamondback Energy,Energy,05/03/2020,58.21,,
FANG,Diamondback Energy,Energy,06/03/2020,48.56,,
FANG,Diamondback Energy,Energy,09/03/2020,26.88,,
FANG,Diamondback Energy,Energy,10/03/2020,29.68,,
FANG,Diamondback Energy,Energy,11/03/2020,26.2,,
FANG,Diamondback Energy,Energy,12/03/2020,25.62,,
FANG,Diamondback Energy,Energy,13/03/2020,27.19,,
FANG,Diamondback Energy,Energy,16/03/2020,23.49,,
FANG,Diamondback Energy,Energy,17/03/2020,20.23,,
FANG,Diamondback Energy,Energy,18/03/2020,15.56,,
FANG,Diamondback Energy,Energy,19/03/2020,18.69,,
FANG,Diamondback Energy,Energy,20/03/2020,18.59,,
FANG,Diamondback Energy,Energy,23/03/2020,20.37,,
FANG,Diamondback Energy,Energy,24/03/2020,24.12,,
FANG,Diamondback Energy,Energy,25/03/2020,24.17,,
FANG,Diamondback Energy,Energy,26/03/2020,25.95,,
FANG,Diamondback Energy,Energy,27/03/2020,23.87,,
FANG,Diamondback Energy,Energy,30/03/2020,23.59,,
FANG,Diamondback Energy,Energy,31/03/2020,26.2,,
FANG,Diamondback Energy,Energy,01/04/2020,25.07,,
FANG,Diamondback Energy,Energy,02/04/2020,29.05,,
FANG,Diamondback Energy,Energy,03/04/2020,31.59,,
FANG,Diamondback Energy,Energy,06/04/2020,32.1,,
FANG,Diamondback Energy,Energy,07/04/2020,33.01,,
FANG,Diamondback Energy,Energy,08/04/2020,37.48,,
FANG,Diamondback Energy,Energy,09/04/2020,34.86,,
FANG,Diamondback Energy,Energy,13/04/2020,33.08,,
FANG,Diamondback Energy,Energy,14/04/2020,31.65,,
FANG,Diamondback Energy,Energy,15/04/2020,30.23,,
FANG,Diamondback Energy,Energy,16/04/2020,28.03,,
FANG,Diamondback Energy,Energy,17/04/2020,31.52,,
FANG,Diamondback Energy,Energy,20/04/2020,30.86,,
FANG,Diamondback Energy,Energy,21/04/2020,31.4,,
FANG,Diamondback Energy,Energy,22/04/2020,34.24,,
FANG,Diamondback Energy,Energy,23/04/2020,37.1,,
FANG,Diamondback Energy,Energy,24/04/2020,35.78,,
FANG,Diamondback Energy,Energy,27/04/2020,36.22,,
FANG,Diamondback Energy,Energy,28/04/2020,38,,
FANG,Diamondback Energy,Energy,29/04/2020,44.19,,
FANG,Diamondback Energy,Energy,30/04/2020,43.54,,
FANG,Diamondback Energy,Energy,01/05/2020,40.28,,
FANG,Diamondback Energy,Energy,04/05/2020,42.52,,
FANG,Diamondback Energy,Energy,05/05/2020,40.33,,
FANG,Diamondback Energy,Energy,06/05/2020,38.92,,
FANG,Diamondback Energy,Energy,07/05/2020,40.37,,
FANG,Diamondback Energy,Energy,08/05/2020,42.08,,
FANG,Diamondback Energy,Energy,11/05/2020,41.02,,
FANG,Diamondback Energy,Energy,12/05/2020,40.87,,
FANG,Diamondback Energy,Energy,13/05/2020,37.79,,
FANG,Diamondback Energy,Energy,14/05/2020,38.18,,
FANG,Diamondback Energy,Energy,15/05/2020,38.78,,
FANG,Diamondback Energy,Energy,18/05/2020,43.44,,
FANG,Diamondback Energy,Energy,19/05/2020,41.84,,
FANG,Diamondback Energy,Energy,20/05/2020,43.66,,
FANG,Diamondback Energy,Energy,21/05/2020,42.89,,
FANG,Diamondback Energy,Energy,22/05/2020,42.94,,
FANG,Diamondback Energy,Energy,26/05/2020,44.9,,
FANG,Diamondback Energy,Energy,27/05/2020,44.3,,
FANG,Diamondback Energy,Energy,28/05/2020,43.02,,
FANG,Diamondback Energy,Energy,29/05/2020,42.58,,
FANG,Diamondback Energy,Energy,01/06/2020,43.73,,
FANG,Diamondback Energy,Energy,02/06/2020,45.61,,
FANG,Diamondback Energy,Energy,03/06/2020,47.58,,
FANG,Diamondback Energy,Energy,04/06/2020,47.68,,
FANG,Diamondback Energy,Energy,05/06/2020,52.21,,
FANG,Diamondback Energy,Energy,08/06/2020,59.82,,
FANG,Diamondback Energy,Energy,09/06/2020,53.92,,
FANG,Diamondback Energy,Energy,10/06/2020,50.17,,
FANG,Diamondback Energy,Energy,11/06/2020,44.36,,
FANG,Diamondback Energy,Energy,12/06/2020,46.96,,
FANG,Diamondback Energy,Energy,15/06/2020,48.12,,
FANG,Diamondback Energy,Energy,16/06/2020,49.97,,
FANG,Diamondback Energy,Energy,17/06/2020,46.55,,
FANG,Diamondback Energy,Energy,18/06/2020,46.59,,
FANG,Diamondback Energy,Energy,19/06/2020,46.73,,
FANG,Diamondback Energy,Energy,22/06/2020,46.09,,
FANG,Diamondback Energy,Energy,23/06/2020,46.31,,
FANG,Diamondback Energy,Energy,24/06/2020,41.9,,
FANG,Diamondback Energy,Energy,25/06/2020,43.62,,
FANG,Diamondback Energy,Energy,26/06/2020,41.13,,
FANG,Diamondback Energy,Energy,29/06/2020,41.43,,
FANG,Diamondback Energy,Energy,30/06/2020,41.82,,
FANG,Diamondback Energy,Energy,01/07/2020,39.6,,
FANG,Diamondback Energy,Energy,02/07/2020,41.56,,
FANG,Diamondback Energy,Energy,06/07/2020,42.88,,
FANG,Diamondback Energy,Energy,07/07/2020,40.12,,
FANG,Diamondback Energy,Energy,08/07/2020,40.23,,
FANG,Diamondback Energy,Energy,09/07/2020,37.5,,
FANG,Diamondback Energy,Energy,10/07/2020,38.93,,
FANG,Diamondback Energy,Energy,13/07/2020,37.1,,
FANG,Diamondback Energy,Energy,14/07/2020,39.28,,
FANG,Diamondback Energy,Energy,15/07/2020,39.9,,
FANG,Diamondback Energy,Energy,16/07/2020,39.51,,
FANG,Diamondback Energy,Energy,17/07/2020,39.02,,
FANG,Diamondback Energy,Energy,20/07/2020,38.58,,
FANG,Diamondback Energy,Energy,21/07/2020,42.11,,
FANG,Diamondback Energy,Energy,22/07/2020,41.7,,
FANG,Diamondback Energy,Energy,23/07/2020,41.07,,
FANG,Diamondback Energy,Energy,24/07/2020,40.73,,
FANG,Diamondback Energy,Energy,27/07/2020,40.05,,
FANG,Diamondback Energy,Energy,28/07/2020,38.88,,
FANG,Diamondback Energy,Energy,29/07/2020,40.76,,
FANG,Diamondback Energy,Energy,30/07/2020,39.51,,
FANG,Diamondback Energy,Energy,31/07/2020,39.86,,
FANG,Diamondback Energy,Energy,03/08/2020,40.01,,
FANG,Diamondback Energy,Energy,04/08/2020,41.07,,
FANG,Diamondback Energy,Energy,05/08/2020,41.63,,
FANG,Diamondback Energy,Energy,06/08/2020,40.73,,
FANG,Diamondback Energy,Energy,07/08/2020,42.01,,
FANG,Diamondback Energy,Energy,10/08/2020,44.67,,
FANG,Diamondback Energy,Energy,11/08/2020,44.45,,
FANG,Diamondback Energy,Energy,12/08/2020,44.57,,
FANG,Diamondback Energy,Energy,13/08/2020,44.58,,
FANG,Diamondback Energy,Energy,14/08/2020,45.51,,
FANG,Diamondback Energy,Energy,17/08/2020,45.08,,
FANG,Diamondback Energy,Energy,18/08/2020,44.49,,
FANG,Diamondback Energy,Energy,19/08/2020,43.3,,
FANG,Diamondback Energy,Energy,20/08/2020,40.63,,
FANG,Diamondback Energy,Energy,21/08/2020,39.21,,
FANG,Diamondback Energy,Energy,24/08/2020,40.05,,
FANG,Diamondback Energy,Energy,25/08/2020,41.06,,
