Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,"QBR
",Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Patrick Mahomes *+,KAN,23,QB,16,16,12-4-0,383,580,66,5097,50,8.6,12,2.1,262,89,8.8,9.6,13.3,318.6,113.8,80.4,26,171,8.13,8.89,4.3,2,2
2,Drew Brees*,NOR,39,QB,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1,223,72,8.2,9,11,266.1,115.7,80.4,17,121,7.65,8.47,3.4,6,7
3,Ben Roethlisberger,PIT,36,QB,16,16,9-6-1,452,675,67,5129,34,5,16,2.4,248,97,7.6,7.5,11.3,320.6,96.5,71,24,166,7.1,7.04,3.4,2,3
4,Mitchell Trubisky *,CHI,24,QB,14,14,11-3-0,289,434,66.6,3223,24,5.5,12,2.8,163,70,7.4,7.3,11.2,230.2,95.4,70.8,24,143,6.72,6.59,5.2,1,2
5,Jameis Winston,TAM,24,QB,11,9,3-6-0,244,378,64.6,2992,19,5,14,3.7,152,64,7.9,7.3,12.3,272,90.2,69.7,27,157,7,6.38,6.7,0,1
6,Andrew Luck *,IND,29,QB,16,16,10-6-0,430,639,67.3,4593,39,6.1,15,2.3,260,68,7.2,7.4,10.7,287.1,98.7,69.4,18,134,6.79,6.95,2.7,3,3
7,Philip Rivers*,LAC,37,QB,16,16,12-4-0,347,508,68.3,4308,32,6.3,12,2.4,235,75,8.5,8.7,12.4,269.3,105.5,69.1,32,204,7.6,7.79,5.9,3,3
8,Matt Ryan,ATL,33,QB,16,16,7-9-0,422,608,69.4,4924,35,5.8,7,1.2,236,75,8.1,8.7,11.7,307.8,108.1,68.5,42,296,7.12,7.71,6.5,1,1
9,Tom Brady *,NWE,41,QB,16,16,11-5-0,375,570,65.8,4355,29,5.1,11,1.9,255,63,7.6,7.8,11.6,272.2,97.7,66.6,21,147,7.12,7.26,3.6,1,2
10,Jared Goff*,LAR,24,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,268,70,8.4,8.5,12.9,293,101.1,63.1,33,223,7.52,7.69,5.6,4,4
11,Russell Wilson *,SEA,30,QB,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,162,66,8.1,9,12.3,215.5,110.9,62.8,51,355,6.47,7.28,10.7,2,4
12,Carson Wentz,PHI,26,QB,11,11,5-6-0,279,401,69.6,3074,21,5.2,7,1.7,159,58,7.7,7.9,11,279.5,102.2,62.6,31,202,6.65,6.89,7.2,2,2
13,Andy Dalton,CIN,31,QB,11,11,5-6-0,226,365,61.9,2566,21,5.8,11,3,132,49,7,6.8,11.4,233.3,89.6,62.3,21,157,6.24,6.05,5.4,3,4
14,Ryan Fitzpatrick,TAM,36,qb,8,7,2-5-0,164,246,66.7,2366,17,6.9,12,4.9,113,75,9.6,8.8,14.4,295.8,100.4,62.1,14,76,8.81,8.04,5.4,,
15,Deshaun Watson *,HOU,23,QB,16,16,11-5-0,345,505,68.3,4165,26,5.1,9,1.8,215,73,8.2,8.5,12.1,260.3,103.1,60.7,62,384,6.67,6.87,10.9,5,5
16,Kirk Cousins,MIN,30,QB,16,16,8-7-1,425,606,70.1,4298,30,5,10,1.7,218,75,7.1,7.3,10.1,268.6,99.7,58.2,40,262,6.25,6.48,6.2,1,0
17,Joe Flacco,BAL,33,QB,9,9,4-5-0,232,379,61.2,2465,12,3.2,6,1.6,119,71,6.5,6.4,10.6,273.9,84.2,56.3,16,79,6.04,5.96,4.1,,
18,Dak Prescott *,DAL,25,QB,16,16,10-6-0,356,526,67.7,3885,22,4.2,8,1.5,206,90,7.4,7.5,10.9,242.8,96.9,56.2,56,347,6.08,6.22,9.6,3,5
19,Cam Newton,CAR,29,QB,14,14,6-8-0,320,471,67.9,3395,24,5.1,13,2.8,180,82,7.2,7,10.6,242.5,94.2,55,29,213,6.36,6.15,5.8,2,2
