Pick,Player,dollar_value
1,Christian McCaffrey (CAR - RB),$32
2,Dalvin Cook (MIN - RB),$25
3,Alvin Kamara (NO - RB),$22
4,Davante Adams (GB - WR),$21
5,Tyreek Hill (KC - WR),$21
6,Travis Kelce (KC - TE),$21
7,Derrick Henry (TEN - RB),$18
8,Stefon Diggs (BUF - WR),$18
9,DeAndre Hopkins (ARI - WR),$18
10,Saquon Barkley (NYG - RB),$17
11,Austin Ekeler (LAC - RB),$17
12,Calvin Ridley (ATL - WR),$16
13,Ezekiel Elliott (DAL - RB),$15
14,Jonathan Taylor (IND - RB),$15
15,Darren Waller (LV - TE),$15
16,George Kittle (SF - TE),$15
17,Aaron Jones (GB - RB),$14
18,Josh Allen (BUF - QB),$13
19,Patrick Mahomes II (KC - QB),$13
20,Joe Mixon (CIN - RB),$13
21,Keenan Allen (LAC - WR),$13
22,Justin Jefferson (MIN - WR),$13
23,Najee Harris (PIT - RB),$12
24,D.K. Metcalf (SEA - WR),$12
25,Nick Chubb (CLE - RB),$11
26,D'Andre Swift (DET - RB),$11
27,A.J. Brown (TEN - WR),$11
28,Kyler Murray (ARI - QB),$10
29,Antonio Gibson (WAS - RB),$10
30,Allen Robinson II (CHI - WR),$10
31,Amari Cooper (DAL - WR),$10
32,Lamar Jackson (BAL - QB),$9
33,Clyde Edwards-Helaire (KC - RB),$9
34,Robert Woods (LAR - WR),$9
35,Terry McLaurin (WAS - WR),$9
36,Chris Carson (SEA - RB),$8
37,Tyler Lockett (SEA - WR),$8
38,Mark Andrews (BAL - TE),$8
39,Dak Prescott (DAL - QB),$7
40,Miles Sanders (PHI - RB),$7
41,David Montgomery (CHI - RB),$7
42,J.K. Dobbins (BAL - RB),$7
43,Mike Evans (TB - WR),$7
44,Cooper Kupp (LAR - WR),$7
45,CeeDee Lamb (DAL - WR),$7
46,Adam Thielen (MIN - WR),$7
47,Justin Herbert (LAC - QB),$6
48,Russell Wilson (SEA - QB),$6
49,Aaron Rodgers (GB - QB),$6
50,Myles Gaskin (MIA - RB),$6
51,Josh Jacobs (LV - RB),$6
52,Mike Davis (ATL - RB),$6
53,D.J. Moore (CAR - WR),$6
54,Chris Godwin (TB - WR),$6
55,T.J. Hockenson (DET - TE),$6
56,Kyle Pitts (ATL - TE),$6
57,Tom Brady (TB - QB),$5
58,Darrell Henderson (LAR - RB),$5
59,Chase Edmonds (ARI - RB),$5
60,Julio Jones (TEN - WR),$5
61,Diontae Johnson (PIT - WR),$5
62,Tee Higgins (CIN - WR),$5
63,Travis Etienne (JAC - RB),$4
64,Kareem Hunt (CLE - RB),$4
65,Courtland Sutton (DEN - WR),$4
66,JuJu Smith-Schuster (PIT - WR),$4
67,Jalen Hurts (PHI - QB),$3
68,Ryan Tannehill (TEN - QB),$3
69,David Johnson (HOU - RB),$3
70,James Robinson (JAC - RB),$3
71,Javonte Williams (DEN - RB),$3
72,Odell Beckham Jr. (CLE - WR),$3
73,Kenny Golladay (NYG - WR),$3
74,Ja'Marr Chase (CIN - WR),$3
75,D.J. Chark Jr. (JAC - WR),$3
76,Brandon Aiyuk (SF - WR),$3
77,Robby Anderson (CAR - WR),$3
78,Dallas Goedert (PHI - TE),$3
79,Raheem Mostert (SF - RB),$2
80,Leonard Fournette (TB - RB),$2
81,Chase Claypool (PIT - WR),$2
82,Tyler Boyd (CIN - WR),$2
83,Brandin Cooks (HOU - WR),$2
84,Deebo Samuel (SF - WR),$2
85,Tyler Higbee (LAR - TE),$2
86,Noah Fant (DEN - TE),$2
87,Logan Thomas (WAS - TE),$2
88,Robert Tonyan (GB - TE),$2
89,Joe Burrow (CIN - QB),$1
90,Damien Harris (NE - RB),$1
91,Zack Moss (BUF - RB),$1
92,Kenyan Drake (LV - RB),$1
93,Melvin Gordon III (DEN - RB),$1
94,J.D. McKissic (WAS - RB),$1
95,Jamaal Williams (DET - RB),$1
96,Jerry Jeudy (DEN - WR),$1
97,Michael Thomas (NO - WR)O,$1
98,Jarvis Landry (CLE - WR),$1
99,Michael Gallup (DAL - WR),$1
100,Laviska Shenault Jr. (JAC - WR),$1
101,Mike Gesicki (MIA - TE),$1
102,Tampa Bay Buccaneers (TB - DST),$1
103,Pittsburgh Steelers (PIT - DST),$1
104,Los Angeles Rams (LAR - DST),$1
105,Washington Football Team (WAS - DST),$1
106,Indianapolis Colts (IND - DST),$1
107,Philadelphia Eagles (PHI - DST),$1
108,Arizona Cardinals (ARI - DST),$1
109,New Orleans Saints (NO - DST),$1
110,Harrison Butker (KC - K),$1
