Rk,Player,Tm,FantPos,FantPt
1,Derrick Henry *+,TEN,RB,314
2,Alvin Kamara *,NOR,RB,295
3,Dalvin Cook*,MIN,RB,294
4,Travis Kelce*+,KAN,TE,208
5,Davante Adams*+,GNB,WR,243
6,Tyreek Hill*+,KAN,WR,242
7,Josh Allen *,BUF,QB,395
8,Aaron Rodgers *+,GNB,QB,382
9,Kyler Murray *,ARI,QB,379
10,Patrick Mahomes *,KAN,QB,374
11,Deshaun Watson *,HOU,QB,369
12,Jonathan Taylor,IND,RB,217
13,Aaron Jones*,GNB,RB,212
14,Darren Waller*,LVR,TE,172
15,David Montgomery,CHI,RB,211
16,Russell Wilson *,SEA,QB,360
17,Stefon Diggs*+,BUF,WR,202
18,James Robinson,JAX,RB,201
19,Josh Jacobs*,LVR,RB,198
20,Calvin Ridley,ATL,WR,192
21,D.K. Metcalf*,SEA,WR,188
22,Nick Chubb*,CLE,RB,192
23,Ryan Tannehill,TEN,QB,343
24,Justin Jefferson *,MIN,WR,186
25,Tom Brady,TAM,QB,338
26,Adam Thielen,MIN,WR,180
27,Mike Evans,TAM,WR,179
28,A.J. Brown*,TEN,WR,178
29,Justin Herbert,LAC,QB,333
30,Lamar Jackson,BAL,QB,333
31,Kareem Hunt,CLE,RB,181
32,DeAndre Hopkins*,ARI,WR,173
33,Ezekiel Elliott,DAL,RB,172
34,Tyler Lockett,SEA,WR,165
35,Kenyan Drake,ARI,RB,167
36,Melvin Gordon,DEN,RB,166
37,Antonio Gibson,WAS,RB,166
38,Allen Robinson,CHI,WR,161
39,Robert Tonyan,GNB,TE,125
40,Robert Woods,LAR,WR,155
41,Ronald Jones II,TAM,RB,158
42,Chase Claypool,PIT,WR,153
43,Marvin Jones,DET,WR,152
44,Brandin Cooks,HOU,WR,151
45,Kirk Cousins,MIN,QB,306
46,Taysom Hill,NOR,WR,149
47,Mark Andrews,BAL,TE,112
48,Chris Carson,SEA,RB,151
49,J.K. Dobbins,BAL,RB,151
50,D.J. Moore,CAR,WR,146
51,Keenan Allen *,LAC,WR,145
52,Amari Cooper,DAL,WR,145
53,T.J. Hockenson *,DET,TE,108
54,Mike Davis,CAR,RB,148
55,CeeDee Lamb,DAL,WR,144
56,David Johnson,HOU,RB,147
57,Mike Gesicki,MIA,TE,106
58,Logan Thomas,WAS,TE,105
59,Rob Gronkowski,TAM,TE,104
60,D'Andre Swift,DET,RB,144
61,Miles Sanders,PHI,RB,142
62,Nelson Agholor,LVR,WR,138
63,JuJu Smith-Schuster,PIT,WR,137
64,Terry McLaurin,WAS,WR,137
65,Clyde Edwards-Helaire,KAN,RB,140
66,Will Fuller,HOU,WR,136
67,Jonnu Smith,TEN,TE,99
68,Curtis Samuel,CAR,WR,135
69,Todd Gurley,ATL,RB,138
70,Diontae Johnson,PIT,WR,134
71,Jimmy Graham,CHI,TE,94
72,Robby Anderson,CAR,WR,129
73,Hayden Hurst,ATL,TE,93
74,Tee Higgins,CIN,WR,128
75,Derek Watt,PIT,,
76,Johnny Stanton,CLE,,
77,Nyheim Hines,IND,RB,130
78,Matt Ryan,ATL,QB,282
79,Derek Carr,LVR,QB,272
80,Ben Roethlisberger,PIT,QB,267
81,Matthew Stafford,DET,QB,261
82,Cam Newton,NWE,QB,259
83,Baker Mayfield,CLE,QB,248
84,Teddy Bridgewater,CAR,QB,241
85,Jared Goff,LAR,QB,240
86,Philip Rivers,IND,QB,240
87,Drew Brees,NOR,QB,209
88,Carson Wentz,PHI,QB,198
89,Drew Lock,DEN,QB,181
90,Daniel Jones,NYG,QB,180
91,Joe Burrow,CIN,QB,174
92,Gardner Minshew II,JAX,QB,160
93,Mitchell Trubisky,CHI,QB,
