Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-09-12,12:30 (07:30),Matchweek 1,Sat,Away,W,3,0,Fulham,1.8,0.2,55,,Pierre-Emerick Aubameyang,3-4-3,Chris Kavanagh,Match Report,
2020-09-19,20:00 (15:00),Matchweek 2,Sat,Home,W,2,1,West Ham,1.4,1.9,62,,Pierre-Emerick Aubameyang,3-4-3,Michael Oliver,Match Report,
2020-09-28,20:00 (15:00),Matchweek 3,Mon,Away,L,1,3,Liverpool,1.2,3.2,33,,Pierre-Emerick Aubameyang,3-4-3,Craig Pawson,Match Report,
2020-10-04,14:00 (09:00),Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,0.4,0.2,63,,Pierre-Emerick Aubameyang,4-3-3,Lee Mason,Match Report,
2020-10-17,17:30 (12:30),Matchweek 5,Sat,Away,L,0,1,Manchester City,0.9,1.5,41,,Pierre-Emerick Aubameyang,3-4-3,Chris Kavanagh,Match Report,
2020-10-25,19:15 (15:15),Matchweek 6,Sun,Home,L,0,1,Leicester City,0.9,1.2,57,,Pierre-Emerick Aubameyang,3-4-3,Craig Pawson,Match Report,
2020-11-01,16:30 (11:30),Matchweek 7,Sun,Away,W,1,0,Manchester Utd,1.1,0.3,47,,Pierre-Emerick Aubameyang,3-4-3,Mike Dean,Match Report,
2020-11-08,19:15 (14:15),Matchweek 8,Sun,Home,L,0,3,Aston Villa,1.5,1.7,58,,Pierre-Emerick Aubameyang,3-4-3,Martin Atkinson,Match Report,
2020-11-22,16:30 (11:30),Matchweek 9,Sun,Away,D,0,0,Leeds United,0.9,2.5,35,,Pierre-Emerick Aubameyang,4-2-3-1,Anthony Taylor,Match Report,
2020-11-29,19:15 (14:15),Matchweek 10,Sun,Home,L,1,2,Wolves,1.2,1.4,56,,Pierre-Emerick Aubameyang,4-2-3-1,Michael Oliver,Match Report,
2020-12-06,16:30 (11:30),Matchweek 11,Sun,Away,L,0,2,Tottenham,0.8,0.5,68,"2,000",Pierre-Emerick Aubameyang,4-4-2,Martin Atkinson,Match Report,
2020-12-13,19:15 (14:15),Matchweek 12,Sun,Home,L,0,1,Burnley,1.5,0.9,65,"2,000",Pierre-Emerick Aubameyang,4-2-3-1,Graham Scott,Match Report,
2020-12-16,18:00 (13:00),Matchweek 13,Wed,Home,D,1,1,Southampton,0.7,1.1,36,,Pierre-Emerick Aubameyang,3-4-3,Paul Tierney,Match Report,
2020-12-19,17:30 (12:30),Matchweek 14,Sat,Away,L,1,2,Everton,1.4,0.8,57,,Rob Holding,3-4-3,Andre Marriner,Match Report,
2020-12-26,17:30 (12:30),Matchweek 15,Sat,Home,W,3,1,Chelsea,2.1,2.3,41,,Héctor Bellerín,4-2-3-1,Michael Oliver,Match Report,
2020-12-29,18:00 (13:00),Matchweek 16,Tue,Away,W,1,0,Brighton,1.2,0.8,50,,Pierre-Emerick Aubameyang,4-2-3-1,Martin Atkinson,Match Report,
2021-01-02,20:00 (15:00),Matchweek 17,Sat,Away,W,4,0,West Brom,3.3,0.4,61,,Pierre-Emerick Aubameyang,4-2-3-1,Martin Atkinson,Match Report,
2021-01-14,20:00 (15:00),Matchweek 18,Thu,Home,D,0,0,Crystal Palace,0.6,0.9,67,,Pierre-Emerick Aubameyang,4-2-3-1,Andre Marriner,Match Report,
2021-01-18,20:00 (15:00),Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,2.8,0.2,66,,Pierre-Emerick Aubameyang,4-2-3-1,David Coote,Match Report,
2021-01-26,20:15 (15:15),Matchweek 20,Tue,Away,W,3,1,Southampton,2.0,1.2,43,,Héctor Bellerín,4-2-3-1,Kevin Friend,Match Report,
2021-01-30,17:30 (12:30),Matchweek 21,Sat,Home,D,0,0,Manchester Utd,1.1,1.5,43,,Héctor Bellerín,4-2-3-1,Michael Oliver,Match Report,
2021-02-02,18:00 (13:00),Matchweek 22,Tue,Away,L,1,2,Wolves,0.6,1.5,45,,Héctor Bellerín,4-2-3-1,Craig Pawson,Match Report,
2021-02-06,12:30 (07:30),Matchweek 23,Sat,Away,L,0,1,Aston Villa,1.1,1.1,65,,Héctor Bellerín,4-2-3-1,Chris Kavanagh,Match Report,
2021-02-14,16:30 (11:30),Matchweek 24,Sun,Home,W,4,2,Leeds United,2.4,0.7,47,,Pierre-Emerick Aubameyang,4-2-3-1,Stuart Attwell,Match Report,
2021-02-21,16:30 (11:30),Matchweek 25,Sun,Home,L,0,1,Manchester City,0.3,2.0,44,,Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,Match Report,
