,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series6_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,37,4,22,1,2,4,0,11,7,2,6,5
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,13,2,18,9,2,1,1,2,2,0,0,1
LOC100132287,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133331,26,2,19,9,3,6,2,10,5,4,1,4
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288069,8,2,9,4,1,1,1,4,4,1,2,2
LINC00115,44,3,28,105,24,15,2,14,8,45,63,75
FAM41C,0,0,0,0,1,0,0,1,0,0,0,0
SAMD11,341,29,234,171,56,52,4,37,38,11,9,6
NOC2L,2072,191,1566,368,114,84,159,802,592,106,98,103
KLHL17,199,20,167,71,24,17,8,47,37,21,9,17
PLEKHN1,61,9,41,14,9,10,6,9,11,8,8,18
HES4,104,8,121,43,37,26,4,35,34,24,34,30
ISG15,84,7,63,30,6,4,12,93,46,471,540,416
AGRN,8375,837,6372,1574,600,353,522,2908,2134,904,1022,1008
RNF223,0,0,1,0,0,0,0,1,1,0,2,1
C1orf159,175,19,143,32,11,14,4,62,61,9,13,9
MIR200B,0,0,0,0,0,0,0,0,0,1,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,1,1,0,0,0,1,0,0
TTLL10,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF18,0,0,0,0,0,0,0,1,0,0,1,0
TNFRSF4,1,0,1,1,0,0,1,0,0,0,0,0
SDF4,2368,226,1738,421,171,119,283,1251,884,235,233,208
B3GALT6,456,52,374,135,54,40,33,190,148,65,63,70
UBE2J2,565,43,354,163,43,23,51,210,174,77,72,79
SCNN1D,90,7,53,13,7,0,1,8,8,2,2,6
ACAP3,711,62,560,145,46,21,33,156,118,35,36,35
PUSL1,247,21,169,40,20,16,16,88,53,14,13,18
TAS1R3,5,0,3,3,0,0,0,2,0,4,1,0
DVL1,1211,139,946,328,115,68,68,331,246,127,132,166
MXRA8,8,0,5,9,3,1,3,14,14,10,14,7
AURKAIP1,1235,82,771,202,86,55,108,499,458,58,67,57
CCNL2,3038,228,2068,629,158,111,170,857,775,276,348,330
LOC148413,324,32,232,99,29,22,47,146,166,52,65,55
MRPL20,1385,116,903,269,60,61,132,616,511,97,101,88
ANKRD65,1,0,6,0,2,0,0,1,0,0,0,0
TMEM88B,0,0,0,0,0,0,0,0,0,0,0,0
VWA1,75,8,67,31,7,8,24,133,99,22,28,20
ATAD3C,0,0,0,0,0,0,0,0,1,0,0,0
ATAD3B,43,2,29,8,1,1,3,20,11,3,2,2
ATAD3A,547,51,365,103,29,26,36,219,153,24,36,22
TMEM240,3,1,0,1,0,0,0,2,2,0,0,0
SSU72,976,76,765,235,78,71,213,890,699,323,374,390
MIB2,715,61,617,176,98,41,26,122,61,30,25,33
MMP23B,2,0,0,0,0,0,0,0,0,0,0,0
MMP23A,0,0,0,0,0,0,0,0,0,0,0,0
CDK11B,344,31,224,100,29,16,34,202,146,77,63,79
SLC35E2B,725,67,480,114,31,43,61,270,261,68,59,68
CDK11A,228,18,150,83,18,15,23,95,52,49,41,56
NADK,688,72,500,124,44,30,68,371,303,91,114,120
GNB1,3699,306,2668,625,228,172,454,2358,1955,644,699,664
CALML6,18,1,11,2,0,1,1,7,5,0,3,0
TMEM52,2,1,11,1,0,1,3,6,6,1,0,1
GABRD,5,0,9,2,0,0,1,9,3,1,3,2
PRKCZ,444,37,354,60,19,15,23,113,110,40,28,21
SKI,313,31,215,152,39,36,26,191,152,70,68,94
MORN1,92,13,82,16,10,7,8,47,47,12,8,6
LOC100129534,33,4,8,6,0,1,1,20,22,1,4,2
RER1,1553,160,1076,242,96,71,202,956,771,202,244,217
PEX10,464,46,335,89,32,35,24,82,66,24,22,27
PLCH2,3,0,3,2,1,1,1,1,1,0,0,1
PANK4,195,19,139,72,17,6,21,73,65,39,59,53
HES5,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF14,0,0,0,0,0,0,0,4,1,0,1,0
FAM213B,185,18,141,22,7,12,37,133,101,14,7,20
MMEL1,0,0,0,0,0,0,0,0,1,0,0,0
TTC34,1,0,0,0,0,0,0,1,1,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0
PRDM16,3,1,3,9,1,3,1,3,3,2,6,5
