,item0,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19
supplier0,2.3523510936335414,13.532789723025088,15.24144071280197,8.475295556496883,14.173452810407554,9.899298640392786,9.739092376058965,3.305968547385401,23.448576839761692,12.871074941291816,15.802515115304452,19.831752327126576,21.505036330174484,6.174849382370637,1.2329850052110611,22.212034220052868,16.564848565494756,13.411757406517665,1.5793888933877294,5.583733611419329
supplier1,2.670898637563084,12.70425157671743,17.647983983244387,7.0955962798578565,15.227676573165143,9.495245634662467,8.837324563460912,3.3315962105434274,20.9684389047869,9.925998471674198,17.625882243993427,18.763888740281295,24.41717666655228,6.0645842148283045,1.2603846719935292,17.2962561549592,18.615734578365533,13.976462981528936,1.4628765979738803,4.676973452299951
supplier2,2.4013584080842403,17.399301072460826,18.61060129142135,5.912996899881547,11.830733337612918,10.606391400420843,11.542628001255068,2.4858833263285574,27.28151728472274,10.144152284238466,18.99340759051016,13.882226628988603,28.449370978459996,7.112103306480465,1.2740845053847634,21.84790251152741,16.249327640437713,13.552933800270484,1.3463643025600316,4.629249233398931
supplier3,2.4013584080842403,16.57076292615317,18.289728855362362,8.081095763171447,12.182141258532114,12.92969618337017,10.55068340739721,2.460255663170531,24.575912264750237,11.998459691034745,16.866145940373023,14.339882451922291,27.777338593142044,6.3953797174553015,1.4110828392971033,17.11419030069647,18.931255503422577,17.505872825349375,1.540551461583113,5.774630487023408
supplier4,2.8424242381405294,13.947058796178917,17.808420201273883,7.949695832062967,12.884957100370505,10.101325143257945,11.362274438735458,3.10094724212119,27.957918539715862,11.780305878470477,16.866145940373023,19.67920038614868,25.5372306420822,5.402993209574307,1.7535786740779538,23.12236349136651,15.618285790323625,14.823521344045844,1.2039603859431052,4.438352357794852
supplier5,2.229832807506795,15.880314470896787,15.081004494772474,6.56999655542394,14.407724757687019,12.424629926207272,11.632804782514874,2.9471812631730314,28.8597868797067,10.471383003084867,18.99340759051016,13.729674688010705,21.505036330174484,6.2299819661418026,1.4658821728620395,23.486495199891966,17.669171803194406,17.788225612855012,1.3722559237631091,6.156424238231568
supplier6,3.1609717820700713,15.74222477984551,15.562313148860959,8.212495694279925,11.94786931125265,9.798285388960206,10.280153063617794,2.870298273698953,20.74297181978919,11.562152065906208,15.802515115304452,15.560297979745467,26.20926302740015,7.112103306480465,1.2603846719935292,21.66583665726468,20.035578741122226,17.788225612855012,1.2298520071461827,5.774630487023408
supplier7,2.940438867041927,17.399301072460826,16.204058020978938,6.1757967620985035,11.010781522134794,10.202338394690525,8.6569710009413,3.2803408842273747,27.506984369720445,12.325690409881146,17.018093201097102,14.339882451922291,25.313219846976214,5.678656128430139,1.2329850052110611,16.750058592171015,17.353650878137362,14.39999216278739,1.3463643025600316,5.774630487023408
supplier8,3.1854754392954208,13.11852064987126,14.920568276742982,8.081095763171447,13.35350099492943,13.13172268623533,9.739092376058965,3.1522025684372426,24.35044517975253,12.76199803500968,14.738884290235882,17.54347321245812,28.449370978459996,5.292728042031974,1.3562835057321674,17.842453717747386,18.931255503422577,16.376461675326834,1.3981475449661867,4.438352357794852
supplier9,2.9649425242672764,14.085148487230194,16.36449423900843,8.409595590942644,14.641996704966482,12.121590171909533,10.280153063617794,2.9728089263310578,27.732451454718156,11.234921347059807,15.802515115304452,15.102642156811775,28.897392568671965,5.8440538797436385,1.6576798403393156,18.20658542627284,19.562297353536664,13.411757406517665,1.4110933555677254,5.870078924825449
