None,ticker,date,closeadj
0,ZTS,2021-07-15,199.99
1,ZTS,2021-07-14,201.029
2,ZTS,2021-07-13,199.061
3,ZTS,2021-07-12,198.083
4,ZTS,2021-07-09,197.254
5,ZTS,2021-07-08,196.714
6,ZTS,2021-07-07,197.154
7,ZTS,2021-07-06,193.778
8,ZTS,2021-07-02,192.46
9,ZTS,2021-07-01,189.054
10,ZTS,2021-06-30,186.127
11,ZTS,2021-06-29,187.755
12,ZTS,2021-06-28,186.847
13,ZTS,2021-06-25,186.996
14,ZTS,2021-06-24,185.149
15,ZTS,2021-06-23,185.888
16,ZTS,2021-06-22,186.387
17,ZTS,2021-06-21,186.367
18,ZTS,2021-06-18,185.159
19,ZTS,2021-06-17,186.207
20,ZTS,2021-06-16,183.88
21,ZTS,2021-06-15,185.438
22,ZTS,2021-06-14,184.35
23,ZTS,2021-06-11,181.973
24,ZTS,2021-06-10,181.873
25,ZTS,2021-06-09,176.47
26,ZTS,2021-06-08,173.883
27,ZTS,2021-06-07,174.882
28,ZTS,2021-06-04,174.981
29,ZTS,2021-06-03,173.603
30,ZTS,2021-06-02,172.734
31,ZTS,2021-06-01,173.973
32,ZTS,2021-05-28,176.46
33,ZTS,2021-05-27,174.452
34,ZTS,2021-05-26,175.101
35,ZTS,2021-05-25,176.4
36,ZTS,2021-05-24,176.18
37,ZTS,2021-05-21,175.8
38,ZTS,2021-05-20,175.581
39,ZTS,2021-05-19,171.066
40,ZTS,2021-05-18,169.898
41,ZTS,2021-05-17,170.058
42,ZTS,2021-05-14,172.075
43,ZTS,2021-05-13,170.637
44,ZTS,2021-05-12,167.83
45,ZTS,2021-05-11,170.018
46,ZTS,2021-05-10,170.956
47,ZTS,2021-05-07,171.336
48,ZTS,2021-05-06,167.311
49,ZTS,2021-05-05,173.643
50,ZTS,2021-05-04,173.553
51,ZTS,2021-05-03,175.021
52,ZTS,2021-04-30,172.814
53,ZTS,2021-04-29,174.302
54,ZTS,2021-04-28,171.506
55,ZTS,2021-04-27,169.538
56,ZTS,2021-04-26,169.588
57,ZTS,2021-04-23,170.327
58,ZTS,2021-04-22,168.859
59,ZTS,2021-04-21,169.938
60,ZTS,2021-04-20,168.529
61,ZTS,2021-04-19,167.642
62,ZTS,2021-04-16,167.173
63,ZTS,2021-04-15,164.999
64,ZTS,2021-04-14,162.636
65,ZTS,2021-04-13,163.024
66,ZTS,2021-04-12,162.067
67,ZTS,2021-04-09,159.414
68,ZTS,2021-04-08,159.564
69,ZTS,2021-04-07,157.45
70,ZTS,2021-04-06,155.475
71,ZTS,2021-04-05,157.978
72,ZTS,2021-04-01,157.46
73,ZTS,2021-03-31,157.051
74,ZTS,2021-03-30,156.612
75,ZTS,2021-03-29,157.958
76,ZTS,2021-03-26,155.724
77,ZTS,2021-03-25,152.463
78,ZTS,2021-03-24,155.006
79,ZTS,2021-03-23,155.615
80,ZTS,2021-03-22,155.206
81,ZTS,2021-03-19,152.703
82,ZTS,2021-03-18,152.005
83,ZTS,2021-03-17,155.744
84,ZTS,2021-03-16,154.607
85,ZTS,2021-03-15,154.418
86,ZTS,2021-03-12,152.154
87,ZTS,2021-03-11,151.945
88,ZTS,2021-03-10,150.678
89,ZTS,2021-03-09,149.731
90,ZTS,2021-03-08,144.754
91,ZTS,2021-03-05,145.283
